bier_id,biernaam :,omschrijving:,alcoholgehalte:,ettiketafbeelding:,brouwerij:,prijs:
11,Ename Blond,,"6,50%",img/enameblond.jpg,Roman,
12,Gordon Finest Gold,"
Dit bier is een bier van de bierstijl Belgian Strong Golden Ale en wordt zoals hierboven beschreven op de markt gebracht door John Martin S.A...

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder goudgeel en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en ongelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond geen prikkelend gevoel naar voren.

De geur die gelijk opvalt is een honingachtige geur. De andere geur die ook waarneembaar is, is een moutachtige geur. De smaak van het bier is honingzoet en het bier heeft een hoppigbitter. De nasmaak heeft een moutachtige boventoon en verder komt er een licht fruitachtig en alcoholischachtig gevoel naar voren in de mond.","10,00%",img/gordonfinestgold,John Martin S.A.,
13,Grimbergen Blond,"
Dit bier is een bier van de bierstijl Belgian Strong Golden Ale en wordt zoals hierboven beschreven op de markt gebracht door John Martin S.A...

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder goudgeel en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en ongelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond geen prikkelend gevoel naar voren.

De geur die gelijk opvalt is een honingachtige geur. De andere geur die ook waarneembaar is, is een moutachtige geur. De smaak van het bier is honingzoet en het bier heeft een hoppigbitter. De nasmaak heeft een moutachtige boventoon en verder komt er een licht fruitachtig en alcoholischachtig gevoel naar voren in de mond.","6,70%",img/grimbergenblond.jpg,Alken-Maes,
14,"Gulden Draak 
","
Dit bier is een bier van de bierstijl Belgian Strong Dark Ale en wordt zoals hierboven beschreven op de markt gebracht door Brouwerij van Steenberge..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder donker bruin en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne licht bruine structuur, die stabiel en gelijkmatig is verdeelt en na een paar minutjes weg zakt tot een klein blijvend laagje in het glas. Tevens is het schuim niet wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een licht prikkelend gevoel naar voren.

De geur die gelijk opvalt is een kruidachtige geur. De andere geur die ook waarneembaar is, is een licht karamelachtige geur. De smaak van het bier is zoet en het bier heeft een hoppigbitter. De nasmaak heeft een alcoholischachtige boventoon en verder komt er een kruidachtig gevoel naar voren in de mond.","10,50%",img/guldendraak.jpg,van Steenberge,
15,Hip Hop Blond,"
Dit bier is een bier van de bierstijl Blonde Ale - Belgian Blonde / Golden en wordt zoals hierboven beschreven op de markt gebracht door De Keukenbrouwers..

Het bier komt uit een fles met een kroonkurk en bij het openen van de fles loopt het bier uit de fles.
De kleur is tweeschijn bleek en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een grofe romige witte structuur, die stabiel en ongelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim licht wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een prikkelend gevoel naar voren.

De geur die gelijk opvalt is een gistachtige geur. De andere geur die ook waarneembaar is, is een licht moutachtige geur. De smaak van het bier is zoet en het bier heeft een gistbitterheid. De nasmaak heeft een gistachtige boventoon en verder komt er een kruidachtig en metaalachtig gevoel naar voren in de mond.","5,50%",img/hiphopblond.jpg,De Keukenbrouwers,
16,Jan van Gent,,"5,50%",img/janvangent.jpg,Liefmans,
17,Kloeke Blonde,,"5,50%",img/kloekeblonde.jpg,De Struise Brouwers,
18,Leffe Royale,"
Dit bier is een bier van de bierstijl Belgian Strong Golden Ale en wordt zoals hierboven beschreven op de markt gebracht door ABInbev Belgium. Het bier wordt gebrouwen met/op de brouwinstallaties van .

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur troebel goudgeel en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en gelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim licht wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een prikkelend gevoel naar voren.

De geur die gelijk opvalt is een fruitachtige geur. De smaak van het bier is honingzoet en het bier heeft een hoppigbitter. De nasmaak heeft een citrusachtige boventoon en verder komt er een banaanachtig gevoel naar voren in de mond.","7,50%",img/achel8blond.jpg,ABInbev Belgium,
19,Lost in Spice,"
Dit bier is een bier van de bierstijl Spiced / Herbed Beer en wordt zoals hierboven beschreven op de markt gebracht door Antwerp City Brewery..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder goudgeel en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en ongelijkmatig is verdeelt en na een paar minutjes weg zakt tot een klein blijvend laagje in het glas. Tevens is het schuim licht wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een licht prikkelend gevoel naar voren.

De geur die gelijk opvalt is een gemberachtige geur. De andere geur die ook waarneembaar is, is een moutachtige geur. De smaak van het bier is zoet en het bier heeft een hoppigbitter. De nasmaak heeft een gemberachtige boventoon en verder komt er een citrusachtig en moutachtig gevoel naar voren in de mond.","5,20%",img/lostinspice.jpg,Antwerp City Brewery,
20,Lupulus,"
Dit bier is een bier van de bierstijl Belgian Tripel en wordt zoals hierboven beschreven op de markt gebracht door Brasserie Les 3 Fourquets..

Het bier komt uit een fles met een kurk en eenmaal uitgeschonken in het glas is de kleur gisttroebel blond en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en gelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een prikkelend gevoel naar voren.

De geur die gelijk opvalt is een fruitachtige geur. De andere geur die ook waarneembaar is, is een citrusachtige geur. De smaak van het bier is zoet en het bier heeft een hoppigbitter. De nasmaak heeft een citrusachtige boventoon en verder komt er een moutachtig gevoel naar voren in de mond.","8,50%",img/lupulus.jpg,Les 3 Fourquets,
21,Mort Subite Kriek,,"4,50%",img/mortsubitekriek.jpg,Alken-Maes,
22,ne blonde Loemelaer,"
Dit bier is een bier van de bierstijl Blonde Ale - Belgian Blonde / Golden en wordt zoals hierboven beschreven op de markt gebracht door Brouwerij Amai..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur tweeschijn goudgeel en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een grofe romige witte structuur, die stabiel en gelijkmatig is verdeelt en na een paar minutjes weg zakt tot een klein blijvend laagje in het glas. Tevens is het schuim wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond geen prikkelend gevoel naar voren.

De geur die gelijk opvalt is een moutachtige geur. De andere geur die ook waarneembaar is, is een grasachtige geur. De smaak van het bier is zoet en het bier heeft een gistbitterheid. De nasmaak heeft een moutachtige boventoon en verder komt er een grasachtig en tarweachtig gevoel naar voren in de mond.","6,00%",img/neblondeloemelaer,Amai,
23,Paljas,"Dit bier is een bier van de bierstijl Blonde Ale - Belgian Blonde / Golden en wordt zoals hierboven beschreven op de markt gebracht door Brouwerij Henricus..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur tweeschijn blond en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en gelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond geen prikkelend gevoel naar voren.

De geur die gelijk opvalt is een muffe geur. De andere geur die ook waarneembaar is, is een licht citrusachtige geur. De smaak van het bier is zoet en het bier heeft een gistbitterheid. De nasmaak heeft een erg metaalachtige boventoon en verder komt er een suikerachtig en licht moutachtig gevoel naar voren in de mond.","6,00%",img/paljas.jpg,Henricus,
24,Dronkenput,"Dit bier is een bier van de bierstijl Belgian Dubbel en wordt zoals hierboven beschreven op de markt gebracht door Kustbrouwerij. Het bier wordt gebrouwen met/op de brouwinstallaties van .

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur gisttroebel donker bruin en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige licht bruine structuur, die stabiel en gelijkmatig is verdeelt en na een paar minutjes weg zakt tot een klein blijvend laagje in het glas. Tevens is het schuim wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een licht prikkelend gevoel naar voren.

De geur die gelijk opvalt is een suikerachtige geur. De andere geur die ook waarneembaar is, is een donker fruitachtige geur. De smaak van het bier is zoet en het bier heeft een gistbitterheid. De nasmaak heeft een suikerachtige boventoon en verder komt er een donker fruitachtig en chocoladeachtig gevoel naar voren in de mond.","8,00%",img/dronkenput.jpg,Kunstbrouwerij,
25,St. Bernardus Abt 12,"
Dit bier is een bier van de bierstijl Belgian Quad en wordt zoals hierboven beschreven op de markt gebracht door Brasserie St.Bernard..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder donker bruin en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige licht bruine structuur, die stabiel en gelijkmatig is verdeelt en na een paar minutjes weg zakt tot een klein blijvend laagje in het glas. Tevens is het schuim niet wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een licht prikkelend gevoel naar voren.

De geur die gelijk opvalt is een donker fruitachtige geur. De andere geur die ook waarneembaar is, is een pruimenachtige geur. De smaak van het bier is zoet en het bier heeft een hoppigbitter. De nasmaak heeft een karamelachtige boventoon en verder komt er een donker fruitachtig en rozijnenachtig gevoel naar voren in de mond.","12,00%",img/stbernardusabt12.jpg,Brasserie st.Bernard,
26,Steenbrugge blond,"Dit bier is een bier van de bierstijl Blonde Ale - Belgian Blonde / Golden en wordt zoals hierboven beschreven op de markt gebracht door Palm Belgian Craft Brewers..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder blond en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en gelijkmatig is verdeelt en na een paar minutjes weg zakt tot een klein blijvend laagje in het glas. Tevens is het schuim licht wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond geen prikkelend gevoel naar voren.

De geur die gelijk opvalt is een citrusachtige geur. De andere geur die ook waarneembaar is, is een muffe geur. De smaak van het bier is zoet en het bier heeft een hoppigbitter. De nasmaak heeft een fruitachtige boventoon en verder komt er een licht kruidachtig en moutachtig gevoel naar voren in de mond.","6,50%",img/steenbruggeblond.jpg,Palm Craft Brewers,
27,Stille Nacht,"
Dit bier is een bier van de bierstijl Belgian Strong Golden Ale en wordt zoals hierboven beschreven op de markt gebracht door Brouwerij De Dolle Brouwers..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur troebel donker blond en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne witte structuur, die stabiel en gelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim niet wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond geen prikkelend gevoel naar voren.

De geur die gelijk opvalt is een fruitachtige geur. De smaak van het bier is zoet en het bier heeft een hoppigbitter. De nasmaak heeft een karamelachtige boventoon en verder komt er een alcoholisch gevoel naar voren in de mond.","12,00%",img/stillenacht.jpg,De Dolle Brouwers,
28,Struise Witte,"
Dit bier is een bier van de bierstijl Witbier en wordt zoals hierboven beschreven op de markt gebracht door De Struise Brouwers..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur tweeschijn bleek en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die instabiel en gelijkmatig is verdeelt en na een paar minutjes weg zakt tot een klein blijvend laagje in het glas. Tevens is het schuim licht wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een prikkelend gevoel naar voren.

De geur die gelijk opvalt is een fruitachtige geur. De andere geur die ook waarneembaar is, is een gistachtige geur. De smaak van het bier is licht zuur en het bier heeft een gistbitterheid. De nasmaak heeft een citrusachtige boventoon en verder komt er een licht tarweachtig en gistachtig gevoel naar voren in de mond.","5,00%",img/struisewitte.jpg,De Struise Brouwers,
29,The Politician,"
Dit bier is een bier van de bierstijl IPA - Belgian en wordt zoals hierboven beschreven op de markt gebracht door Brouwerij Hof ten Dormaal..

Het bier komt uit een fles met een kroonkurk en bij het openen van de fles loopt het bier uit de fles.
De kleur is erg gisttroebel blond en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne witte structuur, die stabiel en ongelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim niet wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een prikkelend gevoel naar voren.

De geur die gelijk opvalt is een moutachtige geur. De andere geur die ook waarneembaar is, is een banaanachtige geur. De smaak van het bier is zoet en het bier heeft een gistbitterheid. De nasmaak heeft een citrusachtige boventoon en verder komt er een grasachtig en gistachtig gevoel naar voren in de mond.","5,50%",img/thepolitician.jpg,Hof Ter Dormaal,
30,Triporteur Total Loss,"Dit bier is een bier van de bierstijl IPA - Black / Cascadian Dark Ale en wordt zoals hierboven beschreven op de markt gebracht door B.O.M. Brewery. Het bier wordt gebrouwen met/op de brouwinstallaties van .

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder donker robijnrood en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige licht bruine structuur, die stabiel en ongelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond geen prikkelend gevoel naar voren.

De geur die gelijk opvalt is een ananasachtige geur. De andere geur die ook waarneembaar is, is een karamelachtige geur. De smaak van het bier is zoet en het bier heeft een hoppigbitter. De nasmaak heeft een citrusachtige boventoon en verder komt er een mangoachtig en karamelachtig gevoel naar voren in de mond.","7,70%",img/triporteurtotalloss.jpg,B.O.M Brewery,
31,Vlaamse Leeuw,"
Dit bier is een bier van de bierstijl Belgian Tripel en wordt zoals hierboven beschreven op de markt gebracht door Brouwerij van Vlaanderen. Het bier wordt gebrouwen met/op de brouwinstallaties van .

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder blond en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en ongelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim niet wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een licht prikkelend gevoel naar voren.

De geur die gelijk opvalt is een fruitachtige geur. De andere geur die ook waarneembaar is, is een moutachtige geur. De smaak van het bier is zoet en het bier heeft een gistbitterheid. De nasmaak heeft een citrusachtige boventoon en verder komt er een grasachtig en metaalachtig gevoel naar voren in de mond.","8,50%",img/vlaemscheleeuw.jpg,Van Vlaanderen,
32,Wild Card Raspberry,"Dit bier is een bier van de bierstijl Sour - Ale en wordt zoals hierboven beschreven op de markt gebracht door Brouwerij het Nest..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder donker rood en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige cremeachtige structuur, die instabiel en gelijkmatig is verdeelt en na een paar minutjes weg zakt tot een klein blijvend laagje in het glas. Tevens is het schuim niet wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een prikkelend gevoel naar voren.

De geur die gelijk opvalt is een framboosachtige geur. De andere geur die ook waarneembaar is, is een licht zuurachtige geur. De smaak van het bier is zuur en het bier heeft een gistbitterheid. De nasmaak heeft een framboosachtige boventoon en verder komt er een licht droog moutachtig en kersenachtig gevoel naar voren in de mond.","6,00%",img/wildcardraspberry.jpg,het Nest,
33,Zingende Blondine,"
Dit bier is een bier van de bierstijl Belgian Strong Golden Ale en wordt zoals hierboven beschreven op de markt gebracht door Brouwerij 't Gaverhopke..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur vlokkig gisttroebel blond en is er in het glas bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en gelijkmatig is verdeelt en na een paar minutjes weg zakt tot een klein blijvend laagje in het glas. Tevens is het schuim niet wand klevend.

Na het inschenken is er in het glas geen koolzuuractiviteit te zien en bij het proeven komt er in de mond geen prikkelend gevoel naar voren.

De geur die gelijk opvalt is een alcoholischachtige geur. De andere geur die ook waarneembaar is, is een moutachtige geur. De smaak van het bier is erg zoet en het bier heeft een gistbitterheid. De nasmaak heeft een gistachtige boventoon en verder komt er een alcoholischachtig en moutachtig gevoel naar voren in de mond.

","9,80%",img/zingendeblondine.jpg,'t Gaverhopke,
34,Zwarte Piet,"
Dit bier is een bier van de bierstijl Old Ale en wordt zoals hierboven beschreven op de markt gebracht door Brasserie de la Senne..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder zwart en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige licht bruine structuur, die stabiel en ongelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een licht prikkelend gevoel naar voren.

De geur die gelijk opvalt is een gebrande moutachtige geur. De andere geur die ook waarneembaar is, is een chocoladeachtige geur. De smaak van het bier is zoet en het bier heeft een hoppigbitter. De nasmaak heeft een koffieachtige boventoon en verder komt er een rookachtig gevoel naar voren in de mond.","8,20%",img/zwartepiet.jpg,Brasserie de la Senne,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
